disease,base_formula,herbs,add_rule,usage,course,contraindication,reference
疫热壅肺,迎甘组方,黄芪30.0g; 甘草25.0g; 黄芩20.0g; 茯苓15.0g; 桔梗5.0g; 满山红5.0g,痰多加:半夏10.0g; 气虚加:党参15.0g; 久咳加:五味子5.0g; 腹泻减:黄芩5.0g,按500g饲料混饲,连用5-7天,,音甘猪咳嗽三代技术PPT
邪袭肺卫,银翘散加减,甘草5.0g; 桔梗10.0g; 金银花15.0g; 连翘15.0g,表虚汗多加:黄芪20.0g,按500g饲料混饲,连用3-5天,,温病条辨
气阴两伤,生脉散加减,黄芪20.0g; 党参20.0g; 麦冬15.0g; 五味子8.0g,余热未清加:黄芩10.0g,按500g饲料混饲,连用7-10天,,中兽医学（教材）
痰热壅肺,清肺止咳散加减,甘草8.0g; 黄芩15.0g; 桔梗10.0g; 杏仁10.0g; 半夏10.0g,痰黄黏加:石膏20.0g,按500g饲料混饲,连用5-7天,孕猪慎用,中兽医学（教材）
疫热壅肺,麻杏石甘汤,甘草6.0g; 麻黄9.0g; 石膏24.0g; 杏仁9.0g,痰黄黏重加:鱼腥草20.0g; 口渴甚加:芦根15.0g,水煎温服（兽用可拌料）,连用3-7天,孕猪慎用,伤寒论
肺卫气虚,玉屏风散,黄芪30.0g; 白术30.0g; 防风15.0g,,研末6-9g/次，或煎汤服,连用7-14天,血虚痉急、阴虚火旺者慎; 阴虚内热、津液亏耗者慎,《究原方》（录自《医方类聚》）
痰湿壅肺,二陈汤,甘草4.5g; 茯苓9.0g; 半夏15.0g; 陈皮15.0g,,水煎温服，加生姜7片乌梅1个,连用3-5天,孕猪慎用,《太平惠民和剂局方》
风寒束肺,荆防败毒散,甘草15.0g; 茯苓45.0g; 桔梗30.0g; 薄荷15.0g; 防风30.0g; 荆芥45.0g; 前胡25.0g; 枳壳30.0g; 川芎25.0g; 羌活25.0g; 独活25.0g; 柴胡30.0g,咳重加:百部10.0g,猪内服40-80g/次拌料；治疗1000g拌250kg料,连用3-5天,体虚多汗不宜；后下不宜久煎; 肝阳上亢、阴虚火旺者慎; 脾胃虚弱、孕妇慎用; 血虚痉急、阴虚火旺者慎; 阴虚火旺、月经过多者慎用,中兽医方剂（荆防败毒散）
风寒束肺,止嗽散,甘草3.0g; 桔梗3.0g; 陈皮6.0g; 紫菀9.0g; 荆芥6.0g; 百部9.0g; 白前6.0g,,散剂6-9g/次，姜汤送服,连用3-7天,阴虚干咳慎服,《医学心悟》
疫热壅肺,清肺散,甘草15.0g; 桔梗20.0g; 浙贝母20.0g; 板蓝根30.0g; 葶苈子25.0g,,猪30-50g/头拌料或灌服,连用3-5天,体虚无实火热毒忌; 反乌头；寒痰湿痰不宜; 肺虚喘咳、脾虚肿满者忌,江西畜牧兽医杂志1991
疫热壅肺,麻杏石甘散（兽用）,甘草6.0g; 麻黄9.0g; 石膏24.0g; 杏仁9.0g,,猪30-60g/次拌料，每日1次,连用5-7天,孕猪慎用,网络公开资料整理2026
邪袭肺卫,银翘散（兽用）,甘草20.0g; 桔梗25.0g; 金银花60.0g; 连翘45.0g; 薄荷30.0g; 荆芥30.0g; 牛蒡子45.0g; 淡豆豉30.0g; 淡竹叶20.0g; 芦根30.0g,咽喉肿痛加:牛蒡子15.0g,猪50-80g拌料；颗粒100g拌200kg料,连用5-7天,体虚多汗不宜；后下不宜久煎; 气虚便溏者慎用,温病条辨
邪袭肺卫,双黄连口服液（兽用）,黄芩15.0g; 金银花20.0g; 连翘15.0g,,猪灌服10-15ml/次，或0.25ml/kg,连用3-5天,,网络公开资料整理2026
邪袭肺卫,板青颗粒（兽用）,板蓝根30.0g; 大青叶30.0g,,猪混饲100g拌100-150kg料,连用3-7天,体虚无实火热毒忌; 脾胃虚寒者慎用,网络公开资料整理2026
