file,truth,predict,confidence,disease,top2,hit
normal/environment_metal_1.wav,normal,normal,0.915,健康猪只,other_disease,True
normal/environment_metal_2.wav,normal,normal,0.8881,健康猪只,other_disease,True
normal/environment_metal_3.wav,normal,normal,0.8984,健康猪只,other_disease,True
normal/environment_white_noise_1.wav,normal,normal,0.9544,健康猪只,other_disease,True
normal/environment_white_noise_2.wav,normal,normal,0.986,健康猪只,other_disease,True
normal/hungry_hungry_1.wav,normal,normal,0.9749,健康猪只,other_disease,True
normal/hungry_hungry_2.wav,normal,normal,0.9852,健康猪只,other_disease,True
normal/hungry_hungry_3.wav,normal,normal,0.9853,健康猪只,other_disease,True
normal/hungry_hungry_4.wav,normal,normal,0.9854,健康猪只,other_disease,True
normal/hungry_hungry_5.wav,normal,normal,0.973,健康猪只,other_disease,True
normal/hungry_hungry_6.wav,normal,normal,0.9802,健康猪只,other_disease,True
normal/hungry_hungry_7.wav,normal,normal,0.9854,健康猪只,other_disease,True
normal/hungry_hungry_8.wav,normal,normal,0.9798,健康猪只,other_disease,True
normal/oink_oink_1.wav,normal,normal,0.9759,健康猪只,other_disease,True
normal/oink_oink_10.wav,normal,normal,0.6901,健康猪只,other_disease,True
normal/oink_oink_11.wav,normal,normal,0.9676,健康猪只,other_disease,True
normal/oink_oink_12.wav,normal,normal,0.9657,健康猪只,other_disease,True
normal/oink_oink_13.wav,normal,normal,0.9836,健康猪只,other_disease,True
normal/oink_oink_14.wav,normal,normal,0.9762,健康猪只,other_disease,True
normal/oink_oink_15.wav,normal,normal,0.9799,健康猪只,other_disease,True
normal/oink_oink_16.wav,normal,normal,0.4587,健康猪只,mycoplasma,True
normal/oink_oink_17.wav,normal,normal,0.9677,健康猪只,other_disease,True
normal/oink_oink_18.wav,normal,normal,0.9754,健康猪只,other_disease,True
normal/oink_oink_19.wav,normal,normal,0.9763,健康猪只,other_disease,True
normal/oink_oink_2.wav,normal,normal,0.9763,健康猪只,other_disease,True
normal/oink_oink_20.wav,normal,normal,0.9414,健康猪只,other_disease,True
normal/oink_oink_21.wav,normal,normal,0.9419,健康猪只,other_disease,True
normal/oink_oink_22.wav,normal,normal,0.9846,健康猪只,other_disease,True
normal/oink_oink_23.wav,normal,normal,0.9861,健康猪只,other_disease,True
normal/oink_oink_24.wav,normal,normal,0.9851,健康猪只,other_disease,True
normal/oink_oink_25.wav,normal,normal,0.9668,健康猪只,other_disease,True
normal/oink_oink_3.wav,normal,normal,0.9809,健康猪只,other_disease,True
normal/oink_oink_4.wav,normal,normal,0.9805,健康猪只,other_disease,True
normal/oink_oink_5.wav,normal,normal,0.9172,健康猪只,other_disease,True
normal/oink_oink_6.wav,normal,normal,0.9824,健康猪只,other_disease,True
normal/oink_oink_7.wav,normal,normal,0.9704,健康猪只,other_disease,True
normal/oink_oink_8.wav,normal,normal,0.9625,健康猪只,other_disease,True
